date,open,high,low,close,volume
2024-01-10 09:15:00,148.0,158.9,115.45,131.15,7558035
2024-01-10 09:20:00,131.15,137.3,114.05,123.25,4332000
2024-01-10 09:25:00,123.25,125.9,89.3,89.75,5864640
2024-01-10 09:30:00,89.75,207.8,86.75,202.0,11671065
2024-01-10 09:35:00,202.0,221.25,139.3,187.15,5177025
2024-01-10 09:40:00,187.15,247.55,173.55,247.55,3522945
2024-01-10 09:45:00,247.55,252.9,158.05,190.4,4020405
2024-01-10 09:50:00,190.4,236.55,179.7,217.95,2672730
2024-01-10 09:55:00,217.95,243.35,182.75,231.1,2723205
2024-01-10 10:00:00,231.1,231.5,203.3,208.1,1479240
2024-01-10 10:05:00,208.1,233.55,186.45,213.15,1799880
2024-01-10 10:10:00,213.15,273.7,209.1,260.1,2077755
2024-01-10 10:15:00,260.1,320.0,250.95,298.3,3340380
2024-01-10 10:20:00,298.3,307.0,231.4,237.55,1705755
2024-01-10 10:25:00,237.55,248.0,208.2,241.9,1434075
2024-01-10 10:30:00,241.9,284.2,238.1,266.65,1210440
2024-01-10 10:35:00,266.65,277.75,253.7,269.0,638340
2024-01-10 10:40:00,269.0,271.7,222.3,226.05,986820
2024-01-10 10:45:00,226.75,239.8,192.05,209.3,1335105
2024-01-10 10:50:00,209.3,221.65,191.05,202.8,845880
2024-01-10 10:55:00,202.65,222.6,182.05,196.6,1191270
2024-01-10 11:00:00,196.6,223.2,181.8,206.55,1255080
2024-01-10 11:05:00,206.55,210.55,173.95,190.9,1273890
2024-01-10 11:10:00,190.9,234.25,181.55,227.55,1141200
2024-01-10 11:15:00,227.55,248.0,211.05,224.1,1360260
2024-01-10 11:20:00,224.1,240.75,220.75,235.15,755100
2024-01-10 11:25:00,235.15,257.5,220.5,228.5,1039680
2024-01-10 11:30:00,229.7,238.55,206.75,206.75,807360
2024-01-10 11:35:00,206.75,261.5,204.25,255.4,1253220
2024-01-10 11:40:00,254.45,291.6,246.65,249.7,1603890
2024-01-10 11:45:00,249.7,265.0,230.0,244.2,663345
2024-01-10 11:50:00,244.2,259.2,230.55,242.5,610695
2024-01-10 11:55:00,242.5,250.1,226.85,240.45,524505
2024-01-10 12:00:00,239.7,248.45,215.5,216.4,882330
2024-01-10 12:05:00,216.4,219.25,174.4,203.15,1655700
2024-01-10 12:10:00,203.15,222.7,195.85,209.3,1004205
2024-01-10 12:15:00,210.0,212.55,193.85,199.75,496860
2024-01-10 12:20:00,199.75,212.85,187.1,198.7,813630
2024-01-10 12:25:00,198.7,219.25,193.45,215.2,567540
2024-01-10 12:30:00,215.2,245.75,203.7,233.0,1131225
2024-01-10 12:35:00,233.05,241.75,220.0,232.25,705225
2024-01-10 12:40:00,232.25,235.05,186.9,189.45,1040025
2024-01-10 12:45:00,189.45,233.3,104.2,178.0,6352515
2024-01-10 12:50:00,175.9,180.2,149.95,170.55,1607370
2024-01-10 12:55:00,170.55,173.0,153.85,164.1,881100
2024-01-10 13:00:00,164.55,174.9,154.6,163.65,904515
2024-01-10 13:05:00,163.65,193.2,159.85,170.75,1247640
2024-01-10 13:10:00,170.75,206.8,165.25,196.2,1089060
2024-01-10 13:15:00,196.2,213.0,170.8,187.9,1166670
2024-01-10 13:20:00,187.9,194.7,168.0,187.65,804900
2024-01-10 13:25:00,187.65,201.55,179.0,193.05,557670
2024-01-10 13:30:00,191.9,214.6,176.0,179.4,1152420
2024-01-10 13:35:00,179.4,187.85,165.8,176.05,1007835
2024-01-10 13:40:00,176.05,194.05,156.3,192.6,1193400
2024-01-10 13:45:00,192.6,194.85,157.6,170.45,1318440
2024-01-10 13:50:00,170.45,190.25,165.0,188.0,774210
2024-01-10 13:55:00,187.75,266.35,183.95,256.2,2969835
2024-01-10 14:00:00,256.2,311.8,213.85,217.0,2669730
2024-01-10 14:05:00,217.0,240.9,206.3,233.75,1065855
2024-01-10 14:10:00,234.95,262.6,220.95,250.9,999645
2024-01-10 14:15:00,250.9,278.3,231.55,254.9,1300125
2024-01-10 14:20:00,254.0,264.15,198.8,208.75,1128150
2024-01-10 14:25:00,208.55,221.4,192.7,209.4,1007025
2024-01-10 14:30:00,211.9,248.4,205.0,234.95,1062015
2024-01-10 14:35:00,234.95,289.05,229.7,268.65,1534530
2024-01-10 14:40:00,267.05,304.65,236.55,257.65,1567575
2024-01-10 14:45:00,257.65,259.2,221.8,235.5,744420
2024-01-10 14:50:00,235.7,278.45,233.2,273.7,876420
2024-01-10 14:55:00,273.7,282.9,247.95,252.35,973335
2024-01-10 15:00:00,252.35,313.1,245.8,311.7,1473075
2024-01-10 15:05:00,313.35,313.85,196.65,238.65,2001075
2024-01-10 15:10:00,238.65,249.4,225.85,239.4,812580
2024-01-10 15:15:00,240.45,262.5,239.4,255.65,684255
2024-01-10 15:20:00,255.65,261.75,252.2,257.0,378240
2024-01-10 15:25:00,257.0,263.45,257.0,260.65,296895
